root,count,size,what,how,comment,where,refphoto
1977-80-82-89_1,12,42x30,Dessin,"Collage, calque","12 dessins, certains sans date ni signature",Pochette Canson beige,804 > 816
1981_1,,37x37,Dessin,Peinture,,Cadre,761
1981-83_2,6,"50x42, 65x50, 21x15",Dessin,Peinture,"13 dessins, 1981/83/85",Papier cartonné,767 > 772
1981-83-86-87_3,24,51x40,Dessin,Peinture,"24 dessins, 2 impression plans A3/concours + dessins/peintures non datées",Carton à dessins,780 > 803
1988_1,,47x47,Dessin,Peinture,,Passe-partout,758
1985_1,,33x33,Dessin,Peinture,Auto-portrait ?,Dessin,1243
1992_1,,70x53,Dessin,Peinture,,Passe-partout,773
1993_1,,47x47,Dessin,Peinture,,Passe-partout,759
1993_2,,47x47,Dessin,Peinture,,Passe-partout,760
1994_1,,53x53,Dessin,"Peinture, toile",,Cadre,777
1994_2,,53x53,Dessin,"Peinture, toile",1993-96,Cadre,778
1994_3,,53x53,Dessin,"Peinture, toile",,Cadre,779
1996_1,5,33x33,Dessin,Peinture,5 peintures,Papier semi-rigide avec accroche,762 > 766
1996_2,,32x23x1,Dessin,"Peinture, collage",Fond noir,Dessin,1249
1996_3,,15x15x1,Portrait,"Peinture, collage",,Cadre,1354
1999-03_1,16,30x30,"Chili, atacama, valparaiso",Collage,17 dessins,"Tableau, toile, cadre",817 > 832
2000_1,,70x50,E. Jeanneret,Collage,,Cadre fissuré,849
1999_2,6,36x36x29,"Chili, atacama",Peinture,"3 cadre, 3 toiles",Carton fast rouge,1189 > 1194
1999_3,,33x24x2,Mourire,"Toile, peinture, collage",Collage sur fond noir,Toile,1237
2003_2,,30x30x2,Chili ?,"Toile, peinture, collage",,Toile,1248
2006_1,,28x23x4,Découpage femme,Papier cartonné,,Cadre,
2006_2,,28x23x4,Découpage femme,Papier cartonné,,Cadre,
2006_3,,"32x25,5x4","Dessin, plan","Papier cartonné, collage",,Cadre,
2006_4,,"32x25,5x4","Dessin, plan","Papier cartonné, collage",,Cadre,
2006_5,,"32x25,5x4","Dessin, plan","Papier cartonné, collage",,Cadre,
2006_6,6,34x26x6,"Dessin, plan",Papier cartonné,6 dessins,Boîte cartonnée,
